airline,origin,destination,scheduled_departure_hour,day_of_week,month,distance,carrier_delay,weather_delay,delayed
6E,DEL,BOM,8,1,1,708,0,25,1
AI,BOM,DEL,18,5,7,708,15,5,1
UK,BLR,DEL,6,2,3,1080,0,0,0
SG,DEL,GOI,14,6,12,934,20,0,1
QP,HYD,BLR,10,3,8,454,0,0,0
6E,MAA,CCU,20,4,6,854,5,30,1
AI,CCU,DEL,7,1,11,814,0,10,0
UK,BOM,BLR,12,2,5,520,0,0,0
SG,BLR,HYD,19,7,9,454,25,0,1
QP,DEL,AMD,9,5,4,472,0,0,0
6E,AMD,BOM,16,3,10,276,10,0,1
AI,DEL,MAA,22,6,1,1095,0,35,1
UK,GOI,BOM,11,4,2,264,0,0,0
SG,CCU,IXB,13,2,7,280,5,5,0
QP,BLR,GOI,17,5,6,301,0,20,1
6E,BOM,MAA,6,1,4,642,0,0,0
AI,HYD,DEL,21,7,8,782,30,0,1
UK,DEL,CCU,15,3,12,814,0,0,0
SG,MAA,BLR,8,2,9,180,0,0,0
QP,BOM,HYD,23,6,7,385,15,10,1
6E,BLR,BOM,5,4,11,520,0,0,0
AI,DEL,SXR,12,5,1,400,0,40,1
UK,BOM,GOI,18,6,12,264,5,0,0
SG,DEL,BLR,20,7,6,1080,20,15,1
QP,CCU,MAA,9,1,3,854,0,0,0
