airline,origin,destination,scheduled_departure_hour,day_of_week,month,distance,carrier_delay,weather_delay,delayed
AA,JFK,LAX,18,5,7,2475,10,5,1
DL,ATL,ORD,9,2,4,606,0,0,0
UA,SFO,EWR,16,4,12,2565,15,0,1
WN,DAL,HOU,7,1,3,239,0,0,0
AA,DFW,MIA,20,6,8,1121,20,10,1
DL,LAX,SEA,13,3,6,954,0,0,0
UA,ORD,DEN,11,5,1,888,5,15,1
WN,PHX,LAS,15,7,5,255,0,0,0
AA,BOS,CLT,6,1,11,728,0,5,0
DL,MSP,ATL,22,4,2,907,25,0,1
UA,IAH,SFO,17,5,9,1635,10,10,1
WN,BWI,MCO,10,2,10,787,0,0,0
AA,LAX,JFK,8,3,7,2475,5,0,0
DL,SEA,SLC,14,6,12,689,0,20,1
UA,DEN,ORD,19,7,4,888,12,0,1
WN,LAS,OAK,12,4,6,407,0,0,0
